Accident Ref.,Borough,Boro,Easting,Northing,CREFNO,Casualty Class,Casualty Sex,Casualty Age (Banded),Casualty Age,No. of Casualties,Casualty Severity,Ped. Location,Ped. Movement,Mode of Travel, 
48180289381,CITY OF LONDON,0,533600,181180,1,1 Driver/Rider,1 Male,16-24,23,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
48180289396,CITY OF LONDON,0,532640,181270,1,1 Driver/Rider,1 Male,25-59,27,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
48180289407,CITY OF LONDON,0,531640,181120,1,1 Driver/Rider,1 Male,25-59,55,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
48180289449,CITY OF LONDON,0,531200,180830,1,1 Driver/Rider,1 Male,25-59,47,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
48180289470,CITY OF LONDON,0,533220,180940,1,1 Driver/Rider,1 Male,25-59,38,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
48180289470,CITY OF LONDON,0,533220,180940,2,3 Pedestrian,1 Male,25-59,31,1,3 Slight,05 Crossing Road (Not On Xing),2 From Drivers N/Side Msk,1 Pedestrian, 
48180289486,CITY OF LONDON,0,531320,180830,1,1 Driver/Rider,2 Female,25-59,28,1,2 Serious,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
48180289610,CITY OF LONDON,0,532590,181080,1,2 Passenger,1 Male,0-15,0,1,3 Slight,-2 Unknown,-2 N/A,6 Bus Or Coach, 
48180289631,CITY OF LONDON,0,533600,181180,1,1 Driver/Rider,1 Male,25-59,35,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
48180289875,CITY OF LONDON,0,533060,180940,1,1 Driver/Rider,1 Male,25-59,31,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
48180289883,CITY OF LONDON,0,532360,181560,1,3 Pedestrian,1 Male,25-59,35,1,3 Slight,09 In Road - Not Crossing,5 In Rd Not Crossing,1 Pedestrian, 
48180289893,CITY OF LONDON,0,533290,181600,1,1 Driver/Rider,1 Male,25-59,33,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
48180289924,CITY OF LONDON,0,531580,181570,1,1 Driver/Rider,1 Male,25-59,45,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
48180289937,CITY OF LONDON,0,533290,181590,2,3 Pedestrian,1 Male,25-59,36,1,3 Slight,05 Crossing Road (Not On Xing),1 From Drivers N/Side,1 Pedestrian, 
48180289937,CITY OF LONDON,0,533290,181590,1,1 Driver/Rider,1 Male,25-59,41,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
48180289969,CITY OF LONDON,0,531630,181180,1,1 Driver/Rider,1 Male,16-24,20,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
48180290249,CITY OF LONDON,0,532820,180940,1,1 Driver/Rider,1 Male,60+,63,1,2 Serious,-2 Unknown,-2 N/A,2 Pedal Cycle, 
48180290253,CITY OF LONDON,0,532560,181150,2,2 Passenger,1 Male,25-59,29,1,3 Slight,-2 Unknown,-2 N/A,5 Taxi, 
48180290253,CITY OF LONDON,0,532560,181150,1,1 Driver/Rider,1 Male,25-59,28,1,3 Slight,-2 Unknown,-2 N/A,6 Bus Or Coach, 
48180290253,CITY OF LONDON,0,532560,181150,3,2 Passenger,2 Female,16-24,23,1,3 Slight,-2 Unknown,-2 N/A,5 Taxi, 
48180290253,CITY OF LONDON,0,532560,181150,4,2 Passenger,2 Female,16-24,22,1,3 Slight,-2 Unknown,-2 N/A,5 Taxi, 
48180290268,CITY OF LONDON,0,533300,180980,1,3 Pedestrian,2 Female,16-24,23,1,3 Slight,06 On Footpath - Verge,9 Unknown Or Other,1 Pedestrian, 
48180290278,CITY OF LONDON,0,531800,181420,1,3 Pedestrian,1 Male,25-59,51,1,3 Slight,01 Crossing Road On Ped Xing,3 From Drivers O/Side,1 Pedestrian, 
48180290288,CITY OF LONDON,0,532820,180930,1,1 Driver/Rider,1 Male,25-59,55,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
48180293939,CITY OF LONDON,0,532790,181770,1,3 Pedestrian,1 Male,25-59,29,1,3 Slight,01 Crossing Road On Ped Xing,1 From Drivers N/Side,1 Pedestrian, 
48180293946,CITY OF LONDON,0,532200,180870,1,1 Driver/Rider,1 Male,25-59,27,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
48180293963,CITY OF LONDON,0,532980,180960,1,3 Pedestrian,2 Female,16-24,24,1,3 Slight,01 Crossing Road On Ped Xing,1 From Drivers N/Side,1 Pedestrian, 
48180294026,CITY OF LONDON,0,533650,180950,1,1 Driver/Rider,1 Male,25-59,35,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
48180294033,CITY OF LONDON,0,533290,181610,1,1 Driver/Rider,1 Male,25-59,32,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
48180294041,CITY OF LONDON,0,533310,181640,1,3 Pedestrian,1 Male,25-59,38,1,2 Serious,06 On Footpath - Verge,9 Unknown Or Other,1 Pedestrian, 
48180294053,CITY OF LONDON,0,533600,181180,1,1 Driver/Rider,1 Male,25-59,48,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
48180294053,CITY OF LONDON,0,533600,181180,2,3 Pedestrian,2 Female,16-24,24,1,2 Serious,04 Crossing Road Within 50m Xing,2 From Drivers N/Side Msk,1 Pedestrian, 
48180294071,CITY OF LONDON,0,533680,181240,1,3 Pedestrian,1 Male,25-59,30,1,3 Slight,05 Crossing Road (Not On Xing),2 From Drivers N/Side Msk,1 Pedestrian, 
48180296201,CITY OF LONDON,0,532885,180850,1,1 Driver/Rider,2 Female,25-59,42,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
48180296219,CITY OF LONDON,0,533090,181260,1,3 Pedestrian,1 Male,25-59,26,1,3 Slight,05 Crossing Road (Not On Xing),2 From Drivers N/Side Msk,1 Pedestrian, 
48180296264,CITY OF LONDON,0,532690,181460,1,1 Driver/Rider,1 Male,25-59,54,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
48180296570,CITY OF LONDON,0,531390,180820,1,1 Driver/Rider,1 Male,25-59,37,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
48180296589,CITY OF LONDON,0,533670,181320,2,3 Pedestrian,2 Female,25-59,27,1,3 Slight,01 Crossing Road On Ped Xing,1 From Drivers N/Side,1 Pedestrian, 
48180296589,CITY OF LONDON,0,533670,181320,1,1 Driver/Rider,1 Male,25-59,29,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
48180296601,CITY OF LONDON,0,531310,180820,1,1 Driver/Rider,1 Male,25-59,54,1,1 Fatal,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
48180296623,CITY OF LONDON,0,533120,181460,1,3 Pedestrian,2 Female,25-59,58,1,2 Serious,05 Crossing Road (Not On Xing),1 From Drivers N/Side,1 Pedestrian, 
48180296653,CITY OF LONDON,0,531390,181000,1,2 Passenger,1 Male,60+,61,1,3 Slight,-2 Unknown,-2 N/A,5 Taxi, 
48180296686,CITY OF LONDON,0,532820,180940,1,1 Driver/Rider,1 Male,25-59,47,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
48180296710,CITY OF LONDON,0,532375,180980,1,3 Pedestrian,1 Male,25-59,46,1,3 Slight,04 Crossing Road Within 50m Xing,1 From Drivers N/Side,1 Pedestrian, 
48180297629,CITY OF LONDON,0,533469,180900,1,1 Driver/Rider,1 Male,25-59,58,1,3 Slight,-2 Unknown,-2 N/A,5 Taxi, 
48180297650,CITY OF LONDON,0,533240,181530,1,1 Driver/Rider,1 Male,25-59,26,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
48180297678,CITY OF LONDON,0,531600,181450,1,1 Driver/Rider,1 Male,16-24,24,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
48180297714,CITY OF LONDON,0,532820,181180,1,3 Pedestrian,2 Female,60+,62,1,3 Slight,05 Crossing Road (Not On Xing),2 From Drivers N/Side Msk,1 Pedestrian, 
48180297740,CITY OF LONDON,0,531640,181110,1,1 Driver/Rider,1 Male,25-59,30,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
48180298535,CITY OF LONDON,0,532130,181370,1,1 Driver/Rider,1 Male,25-59,45,1,2 Serious,-2 Unknown,-2 N/A,2 Pedal Cycle, 
48180298550,CITY OF LONDON,0,531400,181580,1,3 Pedestrian,2 Female,25-59,44,1,2 Serious,01 Crossing Road On Ped Xing,3 From Drivers O/Side,1 Pedestrian, 
48180298566,CITY OF LONDON,0,533470,180760,1,1 Driver/Rider,1 Male,25-59,50,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
48180298621,CITY OF LONDON,0,531660,180880,1,3 Pedestrian,2 Female,60+,77,1,2 Serious,01 Crossing Road On Ped Xing,3 From Drivers O/Side,1 Pedestrian, 
48180298702,CITY OF LONDON,0,532770,181780,1,1 Driver/Rider,1 Male,25-59,43,1,3 Slight,-2 Unknown,-2 N/A,5 Taxi, 
48180299389,CITY OF LONDON,0,531640,180990,1,1 Driver/Rider,1 Male,25-59,27,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
48180299405,CITY OF LONDON,0,532390,181000,1,3 Pedestrian,1 Male,25-59,41,1,3 Slight,01 Crossing Road On Ped Xing,1 From Drivers N/Side,1 Pedestrian, 
48180299438,CITY OF LONDON,0,532900,181120,1,1 Driver/Rider,1 Male,25-59,27,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
48180299444,CITY OF LONDON,0,531890,181360,1,3 Pedestrian,1 Male,25-59,43,1,3 Slight,05 Crossing Road (Not On Xing),2 From Drivers N/Side Msk,1 Pedestrian, 
48180300276,CITY OF LONDON,0,531640,180910,1,1 Driver/Rider,1 Male,25-59,39,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
48180301380,CITY OF LONDON,0,532120,181370,1,1 Driver/Rider,1 Male,25-59,45,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
48180301395,CITY OF LONDON,0,531390,180830,1,1 Driver/Rider,1 Male,25-59,48,1,2 Serious,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
48180306055,CITY OF LONDON,0,531380,181170,1,1 Driver/Rider,1 Male,25-59,29,1,2 Serious,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
48180306069,CITY OF LONDON,0,533380,181920,1,1 Driver/Rider,1 Male,25-59,34,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
48180306069,CITY OF LONDON,0,533380,181920,2,1 Driver/Rider,1 Male,16-24,24,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
48180306091,CITY OF LONDON,0,533194,181140,1,1 Driver/Rider,1 Male,16-24,22,1,2 Serious,-2 Unknown,-2 N/A,2 Pedal Cycle, 
48180306097,CITY OF LONDON,0,533740,181260,1,1 Driver/Rider,1 Male,25-59,30,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
48180306108,CITY OF LONDON,0,531430,181590,1,1 Driver/Rider,1 Male,25-59,27,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
48180306117,CITY OF LONDON,0,531320,181170,1,1 Driver/Rider,1 Male,25-59,53,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
48180306180,CITY OF LONDON,0,532710,181560,1,1 Driver/Rider,1 Male,25-59,43,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
48180306547,CITY OF LONDON,0,533250,181530,1,1 Driver/Rider,1 Male,16-24,21,1,2 Serious,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
48180306563,CITY OF LONDON,0,531380,181180,1,1 Driver/Rider,1 Male,25-59,27,1,2 Serious,-2 Unknown,-2 N/A,2 Pedal Cycle, 
48180306568,CITY OF LONDON,0,533210,181140,1,1 Driver/Rider,1 Male,25-59,35,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
48180307330,CITY OF LONDON,0,531390,180830,1,1 Driver/Rider,1 Male,16-24,24,1,2 Serious,-2 Unknown,-2 N/A,2 Pedal Cycle, 
48180307350,CITY OF LONDON,0,533230,181150,1,1 Driver/Rider,2 Female,25-59,33,1,2 Serious,-2 Unknown,-2 N/A,2 Pedal Cycle, 
48180307363,CITY OF LONDON,0,531640,181120,1,1 Driver/Rider,1 Male,25-59,27,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
48180307414,CITY OF LONDON,0,531710,180960,1,1 Driver/Rider,2 Female,Unknown,0,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
48180307468,CITY OF LONDON,0,533660,180230,1,1 Driver/Rider,1 Male,25-59,26,1,2 Serious,-2 Unknown,-2 N/A,4 Car, 
48180307842,CITY OF LONDON,0,532910,180690,1,1 Driver/Rider,1 Male,16-24,21,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
48180307847,CITY OF LONDON,0,532650,181090,1,3 Pedestrian,2 Female,25-59,50,1,2 Serious,01 Crossing Road On Ped Xing,3 From Drivers O/Side,1 Pedestrian, 
48180308897,CITY OF LONDON,0,531640,181060,1,2 Passenger,2 Female,60+,60,1,3 Slight,-2 Unknown,-2 N/A,6 Bus Or Coach, 
48180308947,CITY OF LONDON,0,531630,181280,1,1 Driver/Rider,1 Male,25-59,54,1,2 Serious,-2 Unknown,-2 N/A,2 Pedal Cycle, 
48180308961,CITY OF LONDON,0,533280,181590,1,3 Pedestrian,2 Female,16-24,21,1,2 Serious,01 Crossing Road On Ped Xing,4 From Drivers O/Side Msk,1 Pedestrian, 
48180308975,CITY OF LONDON,0,531640,180990,1,1 Driver/Rider,1 Male,25-59,41,1,2 Serious,-2 Unknown,-2 N/A,2 Pedal Cycle, 
48180308981,CITY OF LONDON,0,532900,180710,1,1 Driver/Rider,1 Male,25-59,36,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
48180315220,CITY OF LONDON,0,531310,181170,1,2 Passenger,2 Female,25-59,26,1,2 Serious,-2 Unknown,-2 N/A,6 Bus Or Coach, 
48180315320,CITY OF LONDON,0,532790,181530,1,1 Driver/Rider,2 Female,25-59,33,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
48180315580,CITY OF LONDON,0,533070,180930,1,1 Driver/Rider,2 Female,25-59,46,1,2 Serious,-2 Unknown,-2 N/A,2 Pedal Cycle, 
48180315596,CITY OF LONDON,0,532320,180840,2,3 Pedestrian,1 Male,25-59,51,1,3 Slight,05 Crossing Road (Not On Xing),1 From Drivers N/Side,1 Pedestrian, 
48180315596,CITY OF LONDON,0,532320,180840,1,3 Pedestrian,2 Female,25-59,47,1,2 Serious,05 Crossing Road (Not On Xing),1 From Drivers N/Side,1 Pedestrian, 
48180315628,CITY OF LONDON,0,531720,180830,1,1 Driver/Rider,1 Male,16-24,20,1,2 Serious,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
48180315668,CITY OF LONDON,0,532930,180700,1,1 Driver/Rider,2 Female,16-24,22,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
48180315668,CITY OF LONDON,0,532930,180700,2,3 Pedestrian,2 Female,25-59,26,1,2 Serious,01 Crossing Road On Ped Xing,3 From Drivers O/Side,1 Pedestrian, 
48180316675,CITY OF LONDON,0,531650,180990,1,1 Driver/Rider,1 Male,25-59,32,1,3 Slight,-2 Unknown,-2 N/A,5 Taxi, 
48180331567,CITY OF LONDON,0,533010,181040,1,3 Pedestrian,1 Male,25-59,35,1,3 Slight,09 In Road - Not Crossing,8 In Rd Back To Traffic,1 Pedestrian, 
48180331581,CITY OF LONDON,0,532430,180820,1,1 Driver/Rider,1 Male,25-59,30,1,3 Slight,-2 Unknown,-2 N/A,5 Taxi, 
48180331829,CITY OF LONDON,0,531640,180720,1,2 Passenger,2 Female,25-59,38,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
48180331829,CITY OF LONDON,0,531640,180720,2,2 Passenger,2 Female,0-15,8,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
48180331848,CITY OF LONDON,0,533640,180190,1,1 Driver/Rider,1 Male,16-24,18,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
48180331863,CITY OF LONDON,0,532360,181540,1,3 Pedestrian,2 Female,60+,62,1,3 Slight,01 Crossing Road On Ped Xing,1 From Drivers N/Side,1 Pedestrian, 
48180331876,CITY OF LONDON,0,531700,181250,1,3 Pedestrian,2 Female,25-59,56,1,3 Slight,05 Crossing Road (Not On Xing),3 From Drivers O/Side,1 Pedestrian, 
48180331891,CITY OF LONDON,0,533250,180660,1,3 Pedestrian,1 Male,25-59,28,1,2 Serious,05 Crossing Road (Not On Xing),1 From Drivers N/Side,1 Pedestrian, 
48180331904,CITY OF LONDON,0,533300,180980,1,1 Driver/Rider,1 Male,25-59,30,1,2 Serious,-2 Unknown,-2 N/A,2 Pedal Cycle, 
48180332187,CITY OF LONDON,0,533430,181070,1,3 Pedestrian,2 Female,25-59,49,1,3 Slight,05 Crossing Road (Not On Xing),1 From Drivers N/Side,1 Pedestrian, 
48180332197,CITY OF LONDON,0,533060,181240,1,3 Pedestrian,1 Male,25-59,48,1,2 Serious,01 Crossing Road On Ped Xing,1 From Drivers N/Side,1 Pedestrian, 
48180332229,CITY OF LONDON,0,531640,180810,1,1 Driver/Rider,1 Male,25-59,37,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
48180332229,CITY OF LONDON,0,531640,180810,2,1 Driver/Rider,1 Male,25-59,28,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
48180332634,CITY OF LONDON,0,533200,181440,1,1 Driver/Rider,1 Male,25-59,37,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
48180332653,CITY OF LONDON,0,531770,180830,1,1 Driver/Rider,1 Male,25-59,27,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
